### LC--->noradrenaline_LC DR--->serotonin_DR VLPO--->GABA_VLPO WR--->acetylcholin_WR R--->acetylcholin_R SCN--->GABA_SCN 
time	hypnogram	LC_F	LC_C	DR_F	DR_C	VLPO_F	VLPO_C	WR_F	WR_C	R_F	R_C	SCN_F	SCN_C	homeostatic
10	1	5.765130944972477	0.8751288264270028	3.989181957889758	0.8489549306772278	-0.029715294936858316	-0.0036925741830903434	5.567753370438933	0.9383923923915359	0.004701653182470336	0.0006461508881618161	4.284643625313587	0.7966332370432763	0.26205670501256684
12	1	5.762473274789782	0.8707896143988302	3.6771337425237136	0.8332539653670651	-0.0288356248727975	-0.004286851692376616	5.477769362850266	0.9406346481311778	-0.004914406367035424	0.0007103096218811636	4.279870875829178	0.7954146890624675	0.2644474458956388
14	1	5.739971910546468	0.8667186085483817	3.395928357932673	0.8159623715824128	-0.005848154731777961	-0.004176919936438478	5.371243924700334	0.9418510856839813	0.009574138408675293	0.0008215048386975193	4.275951396178744	0.7942806024590346	0.266831365742008
16	1	5.707573371826842	0.8628296504963737	3.1402234402204354	0.7972599435123133	-0.021582555115157425	-0.004285698742362795	5.288668384899715	0.9422866002062347	0.002879193892529145	0.0008567831664136469	4.262732267304638	0.7932294077526092	0.26920848401281383
18	1	5.701509238947796	0.859139054515408	2.9050113295372335	0.7774335165478116	-0.02548138695255043	-0.004533922020380688	5.235519297968798	0.9421905382383913	-0.007161989620965628	0.0006563877193223135	4.246360674933916	0.7921445671359804	0.27157882011367096
20	1	5.683163374304456	0.85568586613381	2.6812779461743834	0.7565913296124024	-0.02616870991684513	-0.0050006186208837984	5.209233940459308	0.9418425059388407	-0.0036058178133338385	0.00027140940639526056	4.239155112966259	0.7910245683742839	0.2739423933948279
22	1	5.674021811739238	0.8523956419838645	2.469416786498352	0.7347711469452319	-0.024883836652637673	-0.005427229925108207	5.173125874941735	0.9413323600420138	-0.0014056687468428416	8.326031159426107e-05	4.2371310335559835	0.7899956415754303	0.27629922315132505
24	1	5.6624747048624835	0.84929729626687	2.2693144636463503	0.712146360410927	-0.0399312508369521	-0.006143989840747876	5.1368744356236675	0.9407150132275723	-0.004669501154556309	-4.444215173389973e-05	4.2226749898017975	0.7889336408327106	0.27864932862315134
26	1	5.66809680977695	0.8464522106655775	2.0930349200527263	0.6888540036168025	-0.026096051510571906	-0.006493661960630066	5.1147699231276915	0.9399739971565244	0.005405492970620962	-0.00021275298886437377	4.199725482859183	0.7878350839988576	0.28099272899540256
28	1	5.685413342088623	0.8438893132831875	1.93817511626538	0.6652654143075694	-0.017751874697264185	-0.006312927281284129	5.110625236427612	0.9392538101296507	0.006102938486050043	4.1955729984354825e-05	4.196327813042316	0.7867472354040506	0.2833294433984377
30	1	5.693537331719495	0.8415488849694153	1.7881839629761145	0.6415072802300581	-0.009472359227993133	-0.005718681304823184	5.072573289727554	0.9384908767144152	0.006762256427231137	1.4551383937168513e-05	4.176482798783669	0.7855725658155626	0.2856594909080339
32	1	5.6937425672246835	0.8394254859019393	1.6349317216128338	0.6175084088157885	-0.0005802891568026684	-0.004933627689483408	5.062644423526103	0.9376962083794131	0.0027479482270326996	0.0002763782878051021	4.166357489949109	0.7843780115619424	0.2879828905455439
34	1	5.685863525281332	0.8374324292528227	1.5238964506968111	0.5935311158495398	-0.00021040238627534715	-0.003929696286182363	5.0538001128077195	0.9369941142999251	-0.003394430692474847	0.00027751096770660595	4.151960642392838	0.7831838161649528	0.2902996612780499
36	1	5.695281229281278	0.8356132759920104	1.395896990811481	0.5696598181758327	-0.014474106385773752	-0.0035386263178519336	5.064912001523063	0.9363765509965407	-0.006127250735551095	8.738969091435371e-05	4.136347741853907	0.7819541869007148	0.2926098220185198
38	1	5.696073663732783	0.833960233097064	1.312817377703772	0.5461211296320544	-0.008681459919681674	-0.003414093566706477	5.074673401128285	0.9359692573585562	-0.003414420884520832	4.816945142521697e-05	4.123023472176708	0.7806808120391984	0.2949133916259597
40	1	5.687550925584519	0.8324217156071957	1.194300339966973	0.5229200376628554	-0.010338135304767028	-0.003416507751094558	5.069443377144033	0.9356565791979188	-0.009394337579393482	-0.00014049723406538245	4.115267176409901	0.7794363073856001	0.2972103889055697
42	1	5.68816051549239	0.8309496147176343	1.1140090582682753	0.5000777397176568	0.007065512757374733	-0.0026870666585920413	5.0504961126170365	0.9352810743913011	-0.011024517516626281	-0.0006407514496401575	4.100956745883842	0.778129560774815	0.29950083260889643
44	1	5.674790017583472	0.8295492241233032	1.0362551338864163	0.47784600275011335	0.030292989394396855	-0.0013584280377810774	5.033553680394389	0.9348476862738949	-0.006932848481601601	-0.0008586856895374991	4.08901907423752	0.7769065013346481	0.3017847414339868
46	1	5.675444831164057	0.8282600786877022	0.9510252218576205	0.4562390767421677	0.04967582751152522	0.0006861285134992665	5.035680659185793	0.9344518283836473	0.0035772463649438513	-0.000689291924554597	4.076394984365995	0.7756433733462144	0.3040621340255397
48	1	5.683308680369965	0.8270892467096917	0.8995307752419602	0.43522178406598916	0.08232032373163328	0.003624721106891439	5.037893246577515	0.934119529077592	-0.009043210650453378	-0.00048619432482035043	4.058905584651967	0.7744221647207454	0.30633302897505843
50	1	5.706205251084276	0.8260909063306513	0.8402528236355443	0.4149909209530911	0.1257717095837427	0.007805827876266361	5.027982451133907	0.9337959455189452	0.007604020877451982	-0.00045674847250189523	4.057991722125052	0.7732091131040364	0.30859744482100393
52	1	5.711695704924461	0.8252415484294247	0.7809165093353755	0.3954104475210343	0.18716105822677248	0.013462236687046294	5.028778751825087	0.9335031135086724	-0.005484378388753727	-0.00033913474248812024	4.0433203244166185	0.772016610186844	0.3108554000489435
54	1	5.714862475480403	0.8244874964375883	0.7271531219654126	0.3764425981555912	0.2522046303399938	0.020910904200617277	5.031000284541398	0.9333113231659825	0.0004839707240119496	-0.0005413220113932401	4.029983559896423	0.7708712007088877	0.31310691309170474
56	1	5.708640332011714	0.8237847677865424	0.6782598224326841	0.3582270752674266	0.3417440329976076	0.030373502183240232	5.018650332397218	0.9330855220275268	0.004662095126182385	-0.0002602260654408571	4.017827815959019	0.7697049955434797	0.3153520023295228
58	1	5.712842292504576	0.8231200353969365	0.6268439350683891	0.34066752736761935	0.4471570702802064	0.04281614871898301	5.04370243120961	0.9329858641915678	0.0008547702030938195	9.967128272837472e-05	4.014322832210446	0.768552511214149	0.3175906860901936
60	1	5.700956205637654	0.8224880869869212	0.556417642037917	0.32342673812602013	0.5647983317307201	0.057916487098065496	5.022313348572106	0.9329016432354756	0.0018003810300400921	0.00010474116391211269	4.005528025983736	0.7674929800650774	0.3198229826492206
62	1	5.705377404848057	0.821887132756736	0.5072965147303525	0.30674084138440444	0.7021559017554813	0.07588425564595716	5.004267833630564	0.9326460958048735	-0.002877007758439727	0.00018658487245047084	4.000971898308016	0.7664759405462931	0.32204891022996635
64	1	5.714261803954425	0.8213449808581238	0.49168672298567856	0.29074549825013224	0.8529930415455117	0.09692238808001068	5.005186368314326	0.9323942668120527	-0.015027623108211846	-0.0002739578626411301	3.9880614256128633	0.7654053330012245	0.32426848700379934
66	1	5.70135604895005	0.820840226698826	0.44714556501857794	0.2754820204348791	1.0250253082471634	0.12133815702233755	5.015579480677486	0.9322731463007677	0.0038066972001140316	-0.0005229105775356364	3.974277377153778	0.7643970082650438	0.32648173109024453
68	1	5.696200900694633	0.8203422252383317	0.4106631480201692	0.26079758593460395	1.1997197716268084	0.1487902275925759	5.010202608788237	0.9322019353929106	0.0015310994514709797	-0.00014614888902049884	3.973006494160164	0.76341134448856	0.3286886605571286
70	1	5.659637624122032	0.8197776946933126	0.3756899850530674	0.24676998626750346	1.3825241633937244	0.17856809911514088	4.996480051274344	0.9320511386926529	0.0037718145273043764	3.473054102874398e-05	3.965935806815007	0.762442164201111	0.3308892934207292
72	1	5.627043290093434	0.8190784443638476	0.3541158608023313	0.23334544204977598	1.5514457989394936	0.21000734861810233	4.980215346741066	0.9317610240800819	0.0022153237446987874	0.00023258022700900103	3.9638699960624217	0.7615822690497799	0.33308364764592163
74	1	5.595602724999473	0.8182563407722727	0.3327089820635912	0.22070205475812582	1.7370536143881363	0.24270309704338136	4.987444175786921	0.9315374146721338	0.012650942694325836	0.0008854927737315954	3.944048612154177	0.7606797022175211	0.3352717411463255
76	1	5.575065434565176	0.817349893568822	0.3239335473594339	0.20876940795237076	1.8899118390122804	0.2759472995162272	4.995982751638573	0.931397433653406	-0.0007152997282766678	0.0011915080431074338	3.9465256897571543	0.7598344874712304	0.33745359178445167
78	1	5.497767501899531	0.8162499219601809	0.28610846245419386	0.1973905293143594	2.0683493178477614	0.3092929003381147	5.001122659489183	0.9313309665376188	0.0037826317594867975	0.0011699282175406775	3.935840158617872	0.7589633672562514	0.3396292173718468
80	1	5.423699859120069	0.8148089600246302	0.26577376614839743	0.18639896061141908	2.2242370132348106	0.34234794495544674	4.9835075139359075	0.9311951807606658	0.0007223754767261515	0.0011728376691194716	3.921975477321802	0.7580819078756054	0.3417986356692386
82	1	5.363735389401272	0.8131193626675037	0.25074954021690915	0.1759752314404363	2.3487909068497057	0.37390621280258374	4.964129313590182	0.9309682545715026	-0.004114446470923103	0.0008120280477997991	3.9284674380047755	0.7573267808896677	0.3439618643866825
84	1	5.291511346639019	0.8111578408100031	0.24329622859494585	0.16620293448504941	2.4932279394703807	0.4044059571432495	4.950648560554412	0.9306595050187435	0.0006860513283554179	0.00043473285389096186	3.9176916183741133	0.7566042980220454	0.34611892118370535
86	1	5.208746851289488	0.8088900049088459	0.21972280346110593	0.1569025257348874	2.6474729870755445	0.4338296687565768	4.9287848181228275	0.93023377926568	0.0030037800067365143	0.0005904802305825832	3.915595116360868	0.7559198708191157	0.34826982366944853
88	1	5.133926743156593	0.8063337990879017	0.21296183448527967	0.1481523156350868	2.773717843474536	0.46215714961256443	4.911083967242873	0.9297122524931188	0.0041709730887806926	0.00046551006791467105	3.9121940323085176	0.7553417508031922	0.35041458940281384
90	1	5.038548676201708	0.8034538706006338	0.20815557566618756	0.14001612367023705	2.915057363106685	0.4893627809756254	4.876351175629583	0.929082450251083	-0.005942592860145196	0.00027540151293855197	3.9087289257978988	0.7546759830714382	0.35255323589260507
92	1	4.937223356354338	0.8001203147805538	0.185158908046075	0.13229454120606834	3.0487243785914035	0.5153409531766938	4.806396308463805	0.9281183377523311	-0.0019790898679033645	0.0002655264198078535	3.8996218908167743	0.7540388506626785	0.35468578059767164
94	1	4.852079176446854	0.7964804592423977	0.1848978825134374	0.12494702415562028	3.153599082880423	0.5397589960200665	4.708155664258573	0.9265709391932916	0.0006563652538879624	0.00035730541419335294	3.894899476616644	0.753360480018356	0.35681224092705077
96	1	4.727479929996579	0.7923749004478622	0.18075993631268142	0.11809173453357792	3.2652663919100253	0.5626200797714208	4.590398642293466	0.9242238445164489	-0.0010720367360521968	0.0005386939495107454	3.887717075376174	0.7527008409304049	0.3589326342401103
98	1	4.606391869568471	0.7877368106313732	0.16508894243327482	0.11163291737337304	3.3671541284351925	0.5839451190070626	4.450846744073169	0.9209442875333871	-0.0010396739786819582	0.0006556598988974378	3.888437813315835	0.7521433585803398	0.36104697784668927
100	1	4.491733671590204	0.7825771279897862	0.16225692132503905	0.10554596204648899	3.4835912568349765	0.6040330584858054	4.28076681935298	0.9165596299952486	0.00479013072828085	0.000638415433944183	3.877236788246972	0.7515449458880552	0.3631552890072411
