### LC--->noradrenaline_LC DR--->serotonin_DR VLPO--->GABA_VLPO WR--->acetylcholin_WR R--->acetylcholin_R SCN--->GABA_SCN 
time	hypnogram	LC_F	LC_C	DR_F	DR_C	VLPO_F	VLPO_C	WR_F	WR_C	R_F	R_C	SCN_F	SCN_C	homeostatic
10	1	5.772706249504144	0.8749387552486584	4.052917577814361	0.8499027711519236	-9.482063437137424e-05	0.000989490620590201	5.558670592930468	0.9383313323888395	-0.0021070503042012207	0.0004976432008625496	4.287251621926422	0.796631318321782	0.26205670501256684
12	1	5.740529391978533	0.8705614780737337	3.738900856784621	0.83464826562406	-0.0076122636895100395	0.000516032412781267	5.449677507028948	0.9404713547700627	-0.009199944372805975	0.0002129820040759498	4.28119041890698	0.7953826819736327	0.2644474458956388
14	1	5.723248219276945	0.8664092287669745	3.4522705801071303	0.8178228700419068	0.004575735546904341	0.00015751591800170425	5.3738061485381845	0.9417001387924322	0.0024564089952393516	-2.821982081255363e-05	4.270172416400117	0.7942537559348115	0.266831365742008
16	1	5.704847450384076	0.8624844722355707	3.193429633774693	0.799572790555716	0.012960894156016568	0.00033299002702925993	5.30361749275601	0.942214913914508	0.005075633652304929	0.0002658682943115006	4.259810643057319	0.7931545776934255	0.26920848401281383
18	1	5.705426486079212	0.8588391169728514	2.9463065080963626	0.7801042095055991	0.03428457123358754	0.001594583380091873	5.243413322488507	0.9422115009708867	0.008012121715650057	0.0006073061844403015	4.2533840137849115	0.7920561964230834	0.27157882011367096
20	1	5.705949078767724	0.8554305320448004	2.7183533307481915	0.7594734622709693	0.01351522059000806	0.0022591308607954755	5.201588854261159	0.9418763460690912	-0.010685072448775573	0.0004945627410064857	4.244297375369891	0.7910528231233276	0.2739423933948279
22	1	5.693258361199699	0.8522464446135475	2.513162436680955	0.7379106192063984	0.007936284978975635	0.0021720952634752826	5.185977735444803	0.9413740100698653	-0.0021287143200499005	-5.023691939705628e-05	4.232007641843744	0.7900682239774297	0.27629922315132505
24	1	5.679675791850854	0.8492884592934439	2.3202507508294175	0.7156353374508359	-0.0048915553949381435	0.0018668019173991087	5.157013035407058	0.9408090271125817	-0.004516628074206895	-0.00031211530568626896	4.216857365955661	0.7889562977707694	0.27864932862315134
26	1	5.6693429533174635	0.8464316867636549	2.141807999715874	0.6927592681989038	-0.00835062298226775	0.0013390796586947736	5.118147555160973	0.9400853286981704	-0.00038786919490483825	-0.0004466625641473058	4.209765020601408	0.7878917059541786	0.28099272899540256
28	1	5.669980402070318	0.8438034638804434	1.9669402153520041	0.6693742160049867	0.007639803579637587	0.0011137231780436515	5.101497309744978	0.9393253449642059	-0.0038815644630278527	-0.00046639541127240256	4.201385511895211	0.7868449662083146	0.2833294433984377
