### wake--->noradrenaline NREM--->GABA REM--->acetylcholin 
time	hypnogram	wake_F	wake_C	NREM_F	NREM_C	REM_F	REM_C	homeostatic
10	1	0.9032799225066764	0.6583657122133412	2.291099428262381	0.4032331642798494	-0.0026824567224253176	-0.00014424880150336198	0.48701338943130895
12	1	0.8792649298045399	0.621212993077915	2.2066983685895596	0.4220024484452025	-0.0009824886112543535	3.2012848953064224e-05	0.4844568274836708
14	1	0.8499106200341942	0.5866075736049229	2.2592943037048716	0.436976659706202	-0.009146318199875995	-0.00029793247793377827	0.4819136861300733
16	1	0.8228782092053099	0.5542686381486829	2.4214468955812	0.4531519427269033	0.001618796858196909	-0.00045020500114171727	0.4793838949195176
18	1	0.8047128454489677	0.5241197903824677	2.62869242582152	0.47237928850814814	0.0007455947315772398	-0.00037096601219418346	0.47686738377083415
20	1	0.7484767048099777	0.4956312297530719	2.8553617010525185	0.49478245075683164	-0.005364393453805195	-0.0004789772931551885	0.4743640829707433
22	1	0.727632891354938	0.4688414071461788	3.1032499665175357	0.5196664083214177	-0.001468801101448567	-0.0004267022221918625	0.4718739231719226
24	1	0.6779521658871871	0.44354075060064097	3.3516956910291857	0.5466722406379687	0.004156921725159396	-0.0005032900378884796	0.46939683539108595
26	1	0.6388452537836947	0.4194326503430367	3.586284159516478	0.5745503840454855	0.010824317211975945	3.7043724532660956e-05	0.46693275100707365
28	0	0.6015970298691472	0.3966361192043842	3.7664680963211166	0.6020246410252146	0.007336101432714847	0.0006091256895967656	0.46448160175895
30	0	0.5618043433660671	0.37508244038252025	3.968322250074703	0.6285478495014392	0.0045059274196750055	0.000705767311546606	0.46204331974411317
32	0	0.5204795523213256	0.35448307500097287	4.119522323745393	0.6536538521401808	4.17292275114061e-05	0.0010776083722745617	0.4596178374164144
34	0	0.4960950748513946	0.3349739003832839	4.2550746112799915	0.6766840391181045	0.0005335750227041555	0.0008703938961190546	0.4572050875842858
36	0	0.4555947688830243	0.3165476482985582	4.36861270227243	0.6977898657134057	-0.001445919452889392	0.0005368662602974775	0.45480500340888047
38	0	0.423909310965311	0.2989988682945054	4.458049933879188	0.7166998711743902	0.008540378361671458	0.0004272786631181111	0.45241751840221905
40	0	0.3826286263049251	0.2821544743624641	4.544366090305515	0.7336209259035423	-0.002637587036262203	0.0001565804000335807	0.45004256642534884
42	0	0.3501909852946229	0.2660906964563532	4.61688042904666	0.7486089812916896	0.010901898004508682	0.00021833558629408013	0.4476800816865125
44	0	0.3269630376107481	0.25086349089009186	4.692698127676411	0.7619807007623278	0.005361269484089477	0.00040063448379503976	0.44532999873932316
46	0	0.3001004029320368	0.23638653006988997	4.7619229205574705	0.7739786451365179	0.0012698780051297208	0.00047304483423474605	0.442992252480954
48	0	0.2788465653566211	0.22262192654688298	4.791787256823157	0.7844730857875037	0.0029430209357549373	0.0005797425880984247	0.44066677815033295
50	0	0.25692870749077634	0.20959087473173155	4.825671356282727	0.7935532246340763	-0.005063339948011584	0.0006756005169153715	0.4383535113263488
52	0	0.23206638279035222	0.197223835808624	4.835723256330655	0.8012227822341792	-0.0038440847399805675	0.00035168872491947667	0.4360523879260677
54	0	0.2305933465708256	0.18561433120564969	4.852401791055942	0.8077311665423538	0.0032293527995295107	0.0004956142702065824	0.43376334420295687
56	0	0.23978564190663793	0.17500649725714437	4.873940481480085	0.8132902108936889	0.0038995834748262945	0.0005858447753339907	0.43148631674511956
58	0	0.22974144089231954	0.16519756378506828	4.908104215163415	0.8183060949324048	0.015625596565145214	0.0012735751613395486	0.4292212424735368
60	0	0.2262250797465216	0.15600312863796195	4.9177677303746306	0.8226452661119557	0.004738076865167357	0.001816957506511489	0.4269680586403217
62	0	0.21608125028197736	0.1473547419955963	4.911350585383932	0.8261774566437498	0.004200851593168402	0.0019302153164363557	0.42472670282698066
64	0	0.20581072940841474	0.13922875810369054	4.9253152858188525	0.8291998870716039	0.014539011563435887	0.0021801421558764185	0.4224971129426834
66	0	0.19882661922054112	0.13164897851281243	4.931581819035594	0.8317391954236893	0.014364795257029935	0.00271226013960778	0.42027922722254424
68	0	0.1768178199423332	0.12445290486430495	4.932287024122614	0.8338245176827852	0.008740395996338076	0.0030164911472858142	0.41807298422590994
70	0	0.1632334863870757	0.11751270557830829	4.95496690422363	0.8356871027055992	0.01721421929500608	0.00304732610751336	0.41587832283465825
72	0	0.1708335142157724	0.11106129089064393	4.955704400949369	0.8373269159939923	0.021827217240412908	0.003703679011754891	0.41369518225150465
74	0	0.17205171143540343	0.10523214299861793	4.9585575280733005	0.8386723080207519	0.020717452894651968	0.004172235445342414	0.41152350199831783
76	0	0.1718738207216203	0.09972912253530693	4.962738948827331	0.8398936643238248	0.018555608906569435	0.004713077289425301	0.40936322191444546
78	0	0.1738870307651468	0.09471775997038498	4.960387033263988	0.8409292598306783	0.014177281029906244	0.004715237959686902	0.40721428215504524
80	0	0.16493792498271634	0.09000663081231379	4.958862783421017	0.8417643589417793	0.025113916251229444	0.005088745997426014	0.40507662318943
82	0	0.15931114723949824	0.08556768190159994	4.951833994529463	0.842388121196385	0.02365428238048527	0.005564805013266101	0.40295018579941677
84	0	0.15535047467970034	0.0813941025394538	4.958377534367354	0.8428801616821482	0.028256328891415078	0.006067717821298491	0.4008349110776859
86	0	0.1596951721081831	0.07755504309776524	4.969349767517435	0.8433925594274199	0.0243806618606224	0.006770061880293419	0.3987307404261503
88	0	0.1430729494485016	0.07395432366788296	4.974305787148114	0.843970378900879	0.03285403373746501	0.007572051173555381	0.3966376155543322
90	0	0.1346219678156195	0.07038333758453667	4.9631921093027325	0.8443395529400473	0.02024423271246361	0.0077703420226437996	0.3945554784777473
92	0	0.11597237466047532	0.06685872058383976	4.986421375195716	0.8447578192555492	0.02617006276408923	0.00820188328601452	0.39248427151629967
94	0	0.10914273678149645	0.0634038511098968	4.990354069267701	0.8451996143996492	0.0358436075299339	0.008653447544238602	0.3904239372926824
96	0	0.10546025559777548	0.06020448778591427	4.996683495394433	0.8456859676892399	0.03611001052176862	0.009242272002042435	0.38837441873078987
98	0	0.08851830365925333	0.05712122577291655	5.005068959503596	0.8461372641941949	0.028204384203130983	0.00915817547880307	0.38633565905413547
100	0	0.06729831216679209	0.05392647523159107	4.991827621767103	0.8464445151697995	0.03807944803251758	0.009356703130932554	0.38430760178427925
102	0	0.064069295908159	0.05079550821202491	4.989588447439335	0.8466115511044388	0.05041275152109411	0.010341329258428785	0.3822901907392624
104	0	0.07093581199336721	0.047938309223339276	4.980506834016387	0.8467090046752166	0.04033784962033256	0.011166774289515624	0.3802833700320524
106	0	0.07655499082016687	0.04536271553461166	4.9838472124135915	0.8467659614905971	0.04542684519358941	0.011773990309403825	0.3782870840689935
108	0	0.08787751634550008	0.04311926871389913	4.98271553168667	0.8467950091394971	0.04659785775649551	0.012455706128944791	0.3763012775482669
110	0	0.07327048770050777	0.041071866394421265	4.9820005181047256	0.8468294621598942	0.046193220945788094	0.012852999329123729	0.3743258954583598
112	0	0.07551844678727998	0.039022243675406805	4.987827879125137	0.8468548329254093	0.061085772523991916	0.013757082705617348	0.37236088307654025
114	0	0.07122975623714646	0.037132676786388506	5.0092433500501725	0.8471201306753181	0.05263099353024981	0.01457821292409619	0.3704061859673418
116	0	0.06813498332589239	0.03533208943650408	4.994174912160664	0.8473716083887894	0.052362685095733004	0.015056847989232321	0.36846174998105485
118	0	0.061301124362973	0.03354062172943161	5.013186816174388	0.8475379531545078	0.06987128675038676	0.01595652075291097	0.36652752125222715
120	0	0.06731997985361415	0.03192774426498323	5.018205120316788	0.8478880278851576	0.06272878171719834	0.016997753482774217	0.36460344619817225
122	0	0.06456089551677346	0.030454278682410085	5.020454982622638	0.8481861895161594	0.05680892149369979	0.01754003291556442	0.3626894715174832
124	0	0.06406328990020307	0.029070724959162457	5.011033864269167	0.8484651509203734	0.07488799714136647	0.018404037808441177	0.3607855441885579
126	0	0.06257901181435327	0.02780589129104479	5.001068745019167	0.8484641248961233	0.07976952666118661	0.019458726009084142	0.35889161146813003
128	0	0.05177249409781749	0.02653720615134814	5.004804785462749	0.8484277911200812	0.07819873065538417	0.020348015425383503	0.35700762088980637
130	0	0.04104921024828204	0.02525186467060065	5.014037651121839	0.8485394316152347	0.07327652336726093	0.0211474619975596	0.3551335202626154
132	0	0.017619885178309064	0.0236979111983825	5.016144145541	0.8486476796018306	0.0720983690552197	0.021773701593234978	0.3532692576695596
134	0	-0.0003505583669936779	0.021935505038338753	5.011340027866753	0.8487265194991491	0.08501017483257213	0.022597365752347116	0.35141478146617816
136	0	-0.005236460884632088	0.020154935919659438	5.002866013834568	0.8487187988590261	0.07852462447489379	0.023881771199970904	0.3495700402791168
138	0	-0.014200172254522702	0.01842735863653797	5.008264861433106	0.8487591471992164	0.08506066736041323	0.02439038159220758	0.34773498300470457
140	0	-0.017278966520985532	0.01676820609017946	5.003515387077322	0.8487935590702671	0.08840481541269463	0.025195616912083885	0.345909558807537
142	0	-0.015037826350067247	0.015326293929322225	4.99631903720961	0.8486964900456786	0.09044400732645377	0.026135973957622908	0.3440937171190683
144	0	-0.02152106924716396	0.013825781561072219	4.998214688316772	0.8485717645719028	0.10390539070154498	0.027301492454129793	0.34228740763621174
146	0	-0.020691522628031075	0.01244539195815984	4.994894084463641	0.8484773512152489	0.10646353899571588	0.028615605070418524	0.3404905803199438
148	0	-0.01248521967914682	0.01119350772298491	4.99432531773956	0.8484012201119066	0.10059539782182692	0.02964593777551847	0.33870318539392
150	0	-0.021798087371202625	0.010092019162330025	4.99379269789729	0.8483385779862338	0.11384463695682899	0.030763181743909244	0.33692517334309524
152	0	-0.020342847381727494	0.008916210530318608	4.989441061486405	0.8482428291059351	0.11528555019867956	0.03216965123637701	0.33515649491235155
154	0	-0.02026892610102995	0.007845698291454095	4.993176153192723	0.8481758902682432	0.10835729300303822	0.03308739652205128	0.3333971011051355
156	0	-0.008842646845604336	0.007075829397604704	4.992983413963714	0.8480735284019384	0.11242085953752093	0.03372069804470364	0.3316469431820987
158	0	-0.004196629667348015	0.006369783463214075	4.981739943959032	0.8479897038970855	0.1091145656353336	0.03456634489763001	0.32990597265974836
