### wake--->noradrenaline NREM--->GABA REM--->acetylcholin 
time	hypnogram	wake_F	wake_C	NREM_F	NREM_C	REM_F	REM_C	homeostatic
10	1	0.86445935615905	0.6570964044881974	1.834008863990726	0.38153270732182354	0.001267777434178305	-0.00013565092550438699	0.48701338943130895
12	1	0.8457924372619559	0.6195363569347736	1.5066193582988847	0.3835311098515325	0.0019203612781080385	1.843565064290116e-06	0.4844568274836708
14	1	0.8340989779239775	0.5846294767363386	1.2479222478993344	0.37353875647720425	-0.0013262712452883241	-5.723342608544275e-05	0.4819136861300733
16	1	0.8148924304726918	0.5522504920897674	1.0480935330263919	0.35615777059402953	0.00798070556149731	-0.000105825902089788	0.4793838949195176
18	1	0.8293870112681745	0.5223103802254289	0.898003347512212	0.3344408216667559	-0.0030416148783050127	5.768574133455913e-05	0.47686738377083415
20	1	0.8558513506362386	0.4949551576360346	0.8140704476202903	0.31175248584125287	0.011604219942521418	0.00036220293141435986	0.4743640829707433
22	1	0.8730337749237651	0.4700322713733444	0.7751557366275388	0.2904365714921179	-0.002608094351064967	0.0004348227195356283	0.4718739231719226
24	1	0.9030256774863743	0.44740380236935257	0.7771722764822743	0.27239350875760104	0.014486732764743934	0.0011159685521089028	0.46939683539108595
26	1	0.9483025519332164	0.42709184713250276	0.8240459336101014	0.25865356910716136	0.028755166976231893	0.0020713015549480413	0.46693275100707365
28	1	0.9930927252037418	0.40895655472854936	0.9100499139020504	0.25047263574298684	0.0363769475820807	0.003737768345315588	0.46448160175895
30	0	1.0446785687973608	0.3929543584245388	1.0269263834105467	0.24823478635684815	0.06690037541834398	0.006003604504125107	0.46204331974411317
32	0	1.099150488784886	0.37897191549132436	1.1504147024222797	0.2513598095948222	0.07564024085818348	0.009145245935790207	0.4596178374164144
34	0	1.148341425000534	0.36688025368833854	1.2888507502617452	0.2593516361829074	0.08453441606797209	0.01243347766706077	0.4572050875842858
36	0	1.18785532955872	0.3562408664489054	1.4313388699996132	0.27162805719947425	0.09843537154103836	0.015848357928198612	0.45480500340888047
38	0	1.2095953540572537	0.34696351968040573	1.5829315218975304	0.28781339275356393	0.10630970265828725	0.01920334247359715	0.45241751840221905
40	0	1.2183571480670756	0.33851346380535513	1.7372768625032293	0.30699668586745277	0.1124810509458858	0.022117265909353756	0.45004256642534884
42	0	1.2083592151719151	0.3307871021876056	1.8892097347185068	0.3285062076428652	0.1071974416273807	0.024631586544471937	0.4476800816865125
44	0	1.1793141954931037	0.32340879708072195	2.015168948277883	0.35111462160556506	0.10671296181667038	0.026471180684618494	0.44532999873932316
46	0	1.147166763359593	0.31609865416298605	2.1496442426738893	0.37414291026022667	0.0796921656602809	0.027317134918447058	0.442992252480954
48	0	1.1309808794159886	0.3089983907451028	2.2921603611474395	0.3979213125611796	0.07628385456487526	0.027142713000869487	0.44066677815033295
50	0	1.093260825591078	0.3020483996594862	2.424211680927431	0.42201531487570654	0.074469089384265	0.026650626169888596	0.4383535113263488
52	0	1.0583028439874493	0.29507924147003645	2.536125826624008	0.4453283993122244	0.05847965281920714	0.025540490027180684	0.4360523879260677
54	0	1.0044589416305862	0.2880812368818695	2.6453624390764747	0.4680680120822531	0.04796352241614894	0.02395480359650299	0.43376334420295687
56	0	0.950435240181268	0.28077047250651166	2.7673747357112406	0.49007655318374677	0.04353245610217158	0.022312289349084604	0.43148631674511956
58	0	0.8893489721422791	0.27320911799645614	2.892392453134665	0.5118082036960395	0.03835438416530088	0.020943167562731378	0.4292212424735368
60	0	0.836580008360254	0.2653268294222253	3.00143411473732	0.5327831859226024	0.03884834410686206	0.019783473000639422	0.4269680586403217
62	0	0.7933013451755114	0.25729661808875415	3.11431996409078	0.5529476172870184	0.02502092806630687	0.018100382346639327	0.42472670282698066
64	0	0.7291866035397646	0.2490861227861719	3.216211458686786	0.5722322534738862	0.025828343204076804	0.01655169750904105	0.4224971129426834
66	0	0.6818048915038776	0.24062928416938614	3.312245496593512	0.5905361368864432	0.02076862203522219	0.015106606804233438	0.42027922722254424
68	0	0.6423902535097158	0.23221293611868937	3.409860860749082	0.6079590742877063	0.023338912424064835	0.013868811340999772	0.41807298422590994
70	0	0.591208470916221	0.22385390084949866	3.5007969889806616	0.6244454185676884	0.020914795476505765	0.012609720697341424	0.41587832283465825
72	0	0.5534004652400912	0.21541548202396735	3.5992933660344444	0.6399951177669085	0.031583844499481636	0.01180797109734863	0.41369518225150465
74	0	0.5250459732589445	0.2070830420670399	3.704167427617468	0.6550772235760726	0.027746178923886384	0.011367400279297137	0.41152350199831783
76	0	0.5018133221450942	0.19900617338656948	3.8141019921133674	0.6696294697212353	0.013854508980689705	0.010651136223783355	0.40936322191444546
78	0	0.49511970156929347	0.1913247191766786	3.888461316658584	0.6835142402293548	0.006241916201551099	0.009372610656033691	0.40721428215504524
80	0	0.46997769542291234	0.18403727288093338	3.976444226051045	0.6964231968679496	0.019894780776881206	0.0086336303393097	0.40507662318943
82	0	0.44023357234320565	0.1768594739424653	4.037553361129479	0.7084001654266433	0.02324344229109328	0.008574794925129726	0.40295018579941677
84	0	0.42277700127202955	0.16989089491520543	4.105432168954526	0.719366803942631	0.022058556677299536	0.008410291221833186	0.4008349110776859
86	0	0.3847717845761271	0.16305639144942935	4.17544286153283	0.7296791078524816	0.021329210307992712	0.008164904004414346	0.3987307404261503
88	0	0.3466152970406337	0.15601677878064993	4.24005429408036	0.7392800039115255	0.017547113060109858	0.00788829648331978	0.3966376155543322
90	0	0.3208151934752446	0.14914720201045972	4.2977436009133125	0.7481519928703996	0.016838860071918288	0.00737257321894556	0.3945554784777473
92	0	0.29996204489900663	0.14240817956349183	4.347850590961261	0.7564513906315792	0.018490969786431947	0.00741282994622465	0.39248427151629967
94	0	0.2630178532698913	0.1357660669745178	4.393090868502219	0.764039247412221	0.030051821385562935	0.007646140776040185	0.3904239372926824
96	0	0.24085991008694255	0.12924303313615346	4.4396617369232025	0.770885739786048	0.020142475937362656	0.007888671464138023	0.38837441873078987
98	0	0.2229582301676135	0.1228020662669861	4.473502187809376	0.7772295521452923	0.025329192095902137	0.007765472958395735	0.38633565905413547
100	0	0.2033435212574941	0.1166577136854622	4.503665706167958	0.7829117834802161	0.02901712357268189	0.008231079219770874	0.38430760178427925
102	0	0.19638896756244056	0.11073683507078874	4.549083298122444	0.7882359086797183	0.016806054922434553	0.00804881028584529	0.3822901907392624
104	0	0.17249706070953857	0.10504056298901433	4.565936810359528	0.7929453335246539	0.031290992066043626	0.008296472027883351	0.3802833700320524
106	0	0.15741878300770193	0.0994485342383345	4.616478848233007	0.7973683396266577	0.033382970042903276	0.008758271857076177	0.3782870840689935
108	0	0.1466927793062615	0.09410564633042277	4.663026014739072	0.8017173891475539	0.03880116736710698	0.00915958879128566	0.3763012775482669
110	0	0.15001179252191021	0.08912432027848037	4.679644712547227	0.8056930163102582	0.03375053856617898	0.009692223364287864	0.3743258954583598
