### LC--->noradrenaline_LC DR--->serotonin_DR VLPO--->GABA_VLPO WR--->acetylcholin_WR R--->acetylcholin_R SCN--->GABA_SCN 
time	hypnogram	LC_F	LC_C	DR_F	DR_C	VLPO_F	VLPO_C	WR_F	WR_C	R_F	R_C	SCN_F	SCN_C	homeostatic
10	1	4.00635797624013	0.849350494814017	3.992352454688042	0.849250580563746	-0.034940674678872706	-0.0024964952082417217	5.574988172470202	0.9386050615451005	0.006175803275468501	0.0008844237487455784	4.292351146474055	0.7967115853948561	0.26205670501256684
12	1	3.686385879204136	0.833674378854097	3.674558062836389	0.8334743993404252	-0.029685748409828076	-0.003377704042902191	5.461892512929838	0.9407740131945256	-0.004978091001494022	0.000581385302853796	4.285739714955507	0.7955006468531765	0.2644474458956388
14	1	3.401308739424032	0.8163686045395092	3.3880647341901016	0.8160737454353034	-0.015406081402451668	-0.0036709604366217956	5.370918508564977	0.941946468029884	0.007561931584620732	0.0007733432285673329	4.277813088401408	0.7943896910014697	0.266831365742008
16	1	3.1175768856062094	0.7975866459859275	3.132078238221258	0.797311170622254	-0.022851664720925598	-0.003965255411412527	5.300194286735002	0.9424015673034809	9.566027840635539e-05	0.0007302935652564289	4.260597447005579	0.7933160175734046	0.26920848401281383
18	1	2.880126976488923	0.7774392071295315	2.878048868903329	0.7772746684576087	-0.027032849779473338	-0.004285047043330961	5.253319139804447	0.9423721443345062	-0.0002286562772959679	0.0006337080854942798	4.2492837549675375	0.7922128255885599	0.27157882011367096
20	1	2.645197553116591	0.7562144110397931	2.643777735012705	0.7560907437403553	-0.01708724847045304	-0.004435436519743877	5.209826168637411	0.9420659341564365	0.0015482191734313543	0.0004114606932938266	4.239904383412422	0.7911028635615299	0.2739423933948279
22	1	2.451482764992279	0.734184321173238	2.4640816787783053	0.7340384689489785	-0.012492291618013119	-0.004199661929568546	5.1658446676473115	0.9415130537987602	-0.0034103414666986393	0.00016513665531732124	4.229203096619877	0.7900017904378893	0.27629922315132505
24	1	2.2696253963546478	0.7114881222616701	2.2835448864591927	0.7115182260246767	-0.01708426603795285	-0.004323197004106459	5.124397885531397	0.9407403219337258	0.0029240456356888203	0.00031559595164930044	4.214865132044064	0.788936623065772	0.27864932862315134
26	1	2.1072084754765226	0.6883814154611231	2.1181160673251447	0.6886151543446078	-0.003567866910640328	-0.004079772030643984	5.092023135797136	0.9398443154321972	0.001468839899178523	0.0002971983669267319	4.204446358422001	0.7877569395463251	0.28099272899540256
28	1	1.9534492070939535	0.6650685359667343	1.943465221229358	0.6652612559925177	-0.01161853374263143	-0.0035067148428166856	5.080525295936841	0.9389371363466864	-0.004541746964132563	0.0003068358444139372	4.190842159356617	0.7866639285009844	0.2833294433984377
30	1	1.8031292455389465	0.6414390898954726	1.8081076157918348	0.6417103257825554	0.011977554779300183	-0.002715760929415486	5.073189185434895	0.9381067226224431	0.0014227955618551192	3.022901929066283e-05	4.17181137254896	0.7854769333178231	0.2856594909080339
32	1	1.6742408417170893	0.6178137280894401	1.6742911334511967	0.6181491781984892	0.04953080307497661	-0.0009038831576639438	5.053814179469672	0.9373481296538936	-0.004863344268900621	7.080277485829641e-05	4.16523111766906	0.7842721629170886	0.2879828905455439
34	1	1.5552929242805902	0.5942697997570457	1.548175986236303	0.5945684449478283	0.12225697985914172	0.002981898503470485	5.041256823166812	0.936586541415049	-0.001942091541954778	-0.00010950663840433746	4.14321758890661	0.783087362306062	0.2902996612780499
36	1	1.4369647363015545	0.5708421093942232	1.4327223104920754	0.5711029014167327	0.2439407438350232	0.010354877374713587	5.038122396690844	0.9359160997811319	0.0035869205106572794	0.0003159745347080006	4.140353139659561	0.7818637524173913	0.2896381050017106
38	1	1.3234391752327557	0.5476425322012646	1.3184966253327757	0.5477422035275431	0.4548746491388403	0.024159990441854972	5.026323057401602	0.9352892927644765	-0.004406059460816757	0.00022392387561132417	4.1316916039469875	0.7806615324550962	0.28675601431676545
40	1	1.2221492895939108	0.5246056604771234	1.2268591012267913	0.5247391716112904	0.7471023271703011	0.047033185573555486	5.024919984490811	0.9347343202959428	0.005918292607413943	0.00021565741646671716	4.1115987333117285	0.7794411228372838	0.28390260234008674
42	1	1.1292947985890547	0.5019564475022383	1.1361343294043182	0.5021224112438998	1.106418200086749	0.08007155079067092	5.021634303094376	0.9342578954946896	0.009276181078144189	0.0008306020662341562	4.096997904240289	0.7781478547880871	0.28107758369956215
44	1	1.036629304296876	0.4797136696066147	1.0407120708545128	0.47994457732471885	1.5260655535808567	0.12344855320670116	5.008129905759163	0.9337894674694165	0.027414724261480703	0.001868272812292306	4.0882648124751295	0.7768595359749195	0.2782806758627197
46	1	0.9535503631187385	0.45794028548780885	0.9539054534594577	0.45819772544924053	1.9489626288170985	0.17540613099229577	5.012339361009516	0.9334001196952626	0.0639770323743964	0.004212355761916134	4.080503212009741	0.7757190482710713	0.27551159910847334
48	1	0.8933041194777323	0.4367906423252235	0.8741386521863281	0.4367959053548135	2.3447904919489027	0.23279600647133492	4.992315876707494	0.932985630953522	0.1387185502581033	0.009523289771828137	4.071748030059074	0.7745823636789148	0.2727700764991463
