### LC--->noradrenaline_LC DR--->serotonin_DR VLPO--->GABA_VLPO WR--->acetylcholin_WR R--->acetylcholin_R SCN--->GABA_SCN 
time	hypnogram	LC_F	LC_C	DR_F	DR_C	VLPO_F	VLPO_C	WR_F	WR_C	R_F	R_C	SCN_F	SCN_C	homeostatic
10	1	6.164175378733694	0.8800224290644937	4.987913284429735	0.8646165991090426	0.006033541939148261	0.0023271892525112085	5.559118706316739	0.9384310853305033	0.00017047168173702382	0.0001777967946516643	4.3010807327673355	0.796853304162338	0.26205670501256684
12	1	6.194072292097828	0.8772662030288914	4.841063899341527	0.8560935789562765	0.007485759333147302	0.0022889050456214284	5.453867377733184	0.9405684337339076	0.0007449586611513029	0.0003236756938287354	4.296016438913961	0.7958251749107212	0.2644474458956388
14	1	6.206498613695537	0.874840781045332	4.721071589915472	0.8473475807886022	0.015486765995656812	0.0024423564489665477	5.3724912555007505	0.941752449282416	0.004340923455574151	0.000502791450080202	4.289046801400633	0.794864822742476	0.266831365742008
16	1	6.225290937602236	0.8726667862289584	4.6091198007654555	0.8384976572663794	0.011062249035384343	0.0024885457029444414	5.303019434644776	0.9422695687544062	-0.01246186082451583	0.00020880932185069132	4.285303396264529	0.7939912664355064	0.26920848401281383
18	1	6.256698848992284	0.8707476756739062	4.508830646241879	0.8295303331455331	0.0029072095665075544	0.002285563881255272	5.2379424263661765	0.94223736846563	0.0015192948491788017	-2.2279581877113937e-05	4.276640749950601	0.7932158895595959	0.27157882011367096
20	1	6.282424364116513	0.8690876739486894	4.426685959233613	0.8205594218330609	0.010735825706771637	0.0023071134218824577	5.205968997589307	0.9418739341381239	0.00631634646677384	0.00021988941782399903	4.27231447168413	0.792462414302659	0.2739423933948279
22	1	6.2920801817850025	0.8676485578599145	4.360785481417674	0.8117183407827728	0.0028477492133594036	0.0022210940847829956	5.157515971629201	0.9412876649026284	0.0011222971881294445	0.0001545940481516233	4.2730391696259	0.7918116046933524	0.27629922315132505
24	1	6.324185427501573	0.8663972871450121	4.283350699795269	0.8030122914118153	-0.0013309920332485558	0.001871455608419456	5.121956618991779	0.940494504305124	-0.0027540140264115413	8.254771114102788e-05	4.263219802669429	0.7911610033025586	0.27864932862315134
26	1	6.324447932435297	0.8653255018408479	4.251626588327802	0.7945528287752311	-0.004885620566107922	0.0013006266363617001	5.087575129620515	0.9395731234490826	-0.007366775646739185	0.00011669258866407609	4.25710834265247	0.7905589440282453	0.28099272899540256
28	1	6.338823528676036	0.8643558557923671	4.229573312158762	0.7864769382200184	-0.005070778544859846	0.0009360686339893455	5.079760320175	0.9386739318039832	-0.016627567253588847	-0.0006764766118213537	4.259196402505266	0.7900356455200473	0.2833294433984377
