### LC--->noradrenaline_LC DR--->serotonin_DR VLPO--->GABA_VLPO WR--->acetylcholin_WR R--->acetylcholin_R SCN--->GABA_SCN 
time	hypnogram	LC_F	LC_C	DR_F	DR_C	VLPO_F	VLPO_C	WR_F	WR_C	R_F	R_C	SCN_F	SCN_C	homeostatic
10	1	6.130431468401054	0.8796904909716455	3.995008000099712	0.849047794008042	1.5803664702978675	0.15952670650730053	5.541074109052733	0.9380967568106185	4.999077016876529	0.5687874094418838	4.575241345975485	0.806678050035996	0.26205670501256684
12	1	6.158132823364381	0.876835638574409	3.683583766754921	0.8333594297155026	1.7504074963051153	0.20235714268201452	5.448572191901713	0.9402245357378323	5.003077660796149	0.6345234188999243	4.608374834413008	0.8085915133124253	0.2644474458956388
14	1	6.178209346989657	0.8742807884695877	3.4076913185884887	0.8161275767213971	1.8717919345961662	0.24282794279592107	5.3658928653237155	0.9414306588939213	4.994789174055968	0.6883172101289237	4.6254837754507	0.8105534136420665	0.266831365742008
16	1	6.194212485244981	0.8720304434774332	3.1450218134042887	0.797543920039533	1.9919058614944254	0.28036443985147785	5.296555436445964	0.9419425708615463	4.992226294633608	0.732288340363587	4.642090788746901	0.8123332559209916	0.26920848401281383
18	1	6.218243402846706	0.8700090656906505	2.9096427909631224	0.7777151185221688	2.0866708022566405	0.31481035956587916	5.242345398931733	0.9419861115183094	5.001502789475783	0.7683300288497593	4.649591274621554	0.8139895481115103	0.27157882011367096
20	1	6.226360649373909	0.8681653096421771	2.6658226915715653	0.756797400899872	2.1550333655892926	0.3457830154848704	5.188806524235195	0.9415743451951676	4.999805986660712	0.7978395935293162	4.653753227125278	0.815461680076115	0.2739423933948279
22	1	6.261135369576549	0.8666081363936764	2.466655974399514	0.7348660552130613	2.211895726386186	0.3735085001934158	5.149612924328759	0.9409998578127835	4.997593402537338	0.8219933386233923	4.660367514486273	0.816724995678438	0.27629922315132505
24	1	6.256764692192851	0.8652508736723712	2.266798058760468	0.712199589200763	2.274583070680539	0.39810343437048684	5.128476577400472	0.9402883096745263	4.999149435702876	0.8417631979384685	4.657702189073858	0.817826845530735	0.27864932862315134
26	1	6.288383349926702	0.8640405102528785	2.0902566885579006	0.6889162593315417	2.329165011438353	0.420217070109522	5.120081961686997	0.9395832593721002	4.989571981871479	0.8579351215750677	4.653130177244184	0.8186458190511496	0.28099272899540256
28	1	6.304661015426429	0.863026928540943	1.9204619772926756	0.6652510583915748	2.3450630858638557	0.4394457408058644	5.103266371164203	0.9388796195647903	4.9906963980107415	0.8711427140891765	4.656104297796249	0.819275693368406	0.2833294433984377
30	1	6.310723199697411	0.8621302721673877	1.7705841136101252	0.6412429579087892	2.380511094610066	0.45599308367222174	5.061506262129436	0.9380899593195348	4.9931430078435985	0.881942775470589	4.642331158993149	0.8196573850026043	0.2856594909080339
32	1	6.3234805286121265	0.8613519315405851	1.6277854154757099	0.6170715551085516	2.4030314315180927	0.47035192281316823	5.040190763977554	0.937231544706328	4.9824921502383575	0.8907746464886453	4.636483663636348	0.8198976832097163	0.2879828905455439
34	1	6.342569331302652	0.8607006407665396	1.5020885034550753	0.5928465545731593	2.4266249220504497	0.4830257369561687	5.024384213536673	0.9363331634272354	4.9868129077032695	0.8979826238696991	4.614554866380642	0.8199128576382249	0.2902996612780499
36	1	6.3548877120205	0.8601706830176005	1.3901691977330333	0.5688700167826788	2.4378609322020965	0.49369442737884384	5.025254104445507	0.9355727294133455	4.991815658581142	0.9039062432138156	4.611253070567271	0.8197829278794392	0.2926098220185198
