### LC--->noradrenaline_LC DR--->serotonin_DR VLPO--->GABA_VLPO WR--->acetylcholin_WR R--->acetylcholin_R SCN--->GABA_SCN 
time	hypnogram	LC_F	LC_C	DR_F	DR_C	VLPO_F	VLPO_C	WR_F	WR_C	R_F	R_C	SCN_F	SCN_C	homeostatic
10	1	6.1465754782347455	0.8796662323647055	4.977163625758503	0.864364796076902	0.000757107192284563	0.0009536290601725303	5.552823364596593	0.9380924467011894	0.003746395806459934	0.0003255752340446312	4.298767965660458	0.7969014117164198	0.26205670501256684
12	1	6.178206917631566	0.876866270544001	4.836155897478532	0.8558051666354812	0.0033782869653765793	0.0008427190103512788	5.449436751715818	0.9402556863234393	0.0005962160417356467	0.00029346778737595144	4.288433915549129	0.7957737162987836	0.2644474458956388
14	1	6.210956598360175	0.8744291783540843	4.712790303870157	0.8470543855422471	0.0032860373270617105	0.0009885745877128537	5.357189411085511	0.9414292950786122	0.0014639300187692273	0.00048204229255945574	4.288955600777817	0.7947399125872432	0.266831365742008
16	1	6.224637988171952	0.8722784965047025	4.610841226004477	0.838188415147727	0.007530071786475922	0.0012096691660830135	5.310570924870904	0.9419339284529162	0.00174042501109534	0.0004319560086520132	4.283503210685235	0.7939262462486295	0.26920848401281383
18	1	6.233913974814365	0.8703600430635732	4.497146546664411	0.8291697148255779	0.004841583295923702	0.0012878784271057196	5.256056325019421	0.9420234084866241	-0.00022869654802862635	0.0006749686357400537	4.272880738045918	0.7930524481471831	0.27157882011367096
20	1	6.276216895985957	0.8686726626887177	4.431830831698543	0.8202157846793074	-0.0052984355172689505	0.0011064749584937933	5.2066049788415105	0.9417467874746561	0.00507696176929563	0.0007982141029288486	4.275761688863875	0.7922688318866552	0.2739423933948279
22	1	6.280883285231216	0.8672378035752203	4.364654956360418	0.8114210459728037	-0.014858584246225949	0.000528584836933338	5.17769660451802	0.9412814474464428	-0.005395541423589582	0.0004696663609488687	4.272101184272453	0.7916908746822092	0.27629922315132505
24	1	6.29685119208535	0.8659371027131746	4.30588724320268	0.802840330289397	-0.001462389643188485	-5.814147496487223e-05	5.139524516585361	0.9406583951824316	-0.004125147083274528	-8.863711616332494e-05	4.264416565343124	0.7910384814036479	0.27864932862315134
26	1	6.314541286446301	0.8648065240456282	4.257004913526631	0.7944975516938534	-0.003199640828455779	-0.00015615293291513545	5.1117138331497625	0.9398800424385858	-0.00581863894630056	-0.0003327374922456915	4.259444638484417	0.7904419158248928	0.28099272899540256
28	1	6.322135929583391	0.8638270750977848	4.2218841663289846	0.7864457000186535	-0.0017103117488526407	-0.00037060859456744717	5.097003186381033	0.9390704145438028	0.0036318322894151414	-0.0002840305540204908	4.2598713078409	0.7899542778642972	0.2833294433984377
30	1	6.337874808793918	0.8629780509278069	4.207108797406204	0.7788339942986738	-0.004260721049867514	-0.0005489889289144402	5.08102054706294	0.9383343488931383	-0.003466243152617786	-7.076899124006146e-05	4.2486138791812955	0.7893896640310337	0.2856594909080339
32	1	6.349722727276574	0.8622391147431478	4.177601947188407	0.7716096631918777	0.004928734606263272	-0.0003776457090585941	5.065416493380377	0.9375708429767006	-0.004849194505850201	-2.0972378514523153e-05	4.240604240723973	0.7887995460789672	0.2879828905455439
34	1	6.35321253829903	0.8616028710925479	4.162054386237566	0.7647728788207007	-0.0015660348623283658	-0.00012957187120199768	5.0393597233531775	0.936796565908069	0.002340907316998098	-0.00015023253921803945	4.242963368438881	0.7882789077107125	0.2902996612780499
36	1	6.3570636033369405	0.86101764267294	4.130879571448662	0.7582438040489311	0.0034798085545371333	6.271559672537968e-05	5.040273345114672	0.9361086190747737	-0.0034100521611317098	-7.93185239195452e-05	4.2478623548280146	0.7878493996883442	0.2926098220185198
38	1	6.368835981781752	0.86052851318457	4.100385746929007	0.7519793865710809	-0.02409923851660617	-0.00032234771649656635	5.030077782445871	0.9354887180627	-0.011435118607924193	-0.0007842644992020805	4.234539756370519	0.7873930401565722	0.2949133916259597
40	1	6.377027771782335	0.8601178942928972	4.088891647361837	0.7460115483677342	-0.011157320256831438	-0.0010843701503024262	5.034124763425433	0.9349457718692559	8.67001224979483e-05	-0.0009693185685845532	4.232151339961344	0.7869285914085393	0.2972103889055697
42	1	6.373533838100143	0.8597398506315068	4.077982397344889	0.7404151536044189	0.0025906532113441857	-0.001163342300347029	5.032476628623184	0.9345239815517633	-0.0018268880773969732	-0.0009651035901560162	4.226751254526553	0.7864519396791061	0.29950083260889643
44	1	6.366937007885427	0.8593606017864724	4.055855714235482	0.735125981079787	-0.016901754293468893	-0.0012247481681625849	5.040130228666396	0.9341785048260342	0.009150900201539658	-0.0004962581120336545	4.221632923016335	0.7859684713133657	0.3017847414339868
46	1	6.37648889283183	0.8590078448881975	4.057575575008619	0.7301357661966885	0.004379078881863418	-0.0013810437708571533	5.041908212758852	0.9339634654612934	0.008662626013498232	0.0001429200478669115	4.218773128229361	0.7855829083646412	0.3040621340255397
48	1	6.387571608488861	0.858734571158779	4.054351116713057	0.7255452536834934	0.01039718652479961	-0.0008825993699050813	5.030851062711105	0.9336875605494601	0.002420471706348175	0.0004790570038718065	4.219003462346405	0.7852319086708722	0.30633302897505843
50	1	6.3956423800819655	0.8585454228930451	4.057987323273036	0.7212543045608066	0.002041363006410223	-0.00036182952998235415	5.029428183812044	0.9334591246391926	0.0039525662865439355	0.00040639938860487056	4.216752391213815	0.7849550782386773	0.30859744482100393
52	1	6.405780583312465	0.8583907741300694	4.071299456894797	0.7174042021235946	0.008687426774278252	-0.00011374688472991696	5.034554531245732	0.9332994099770481	0.010750132754941544	0.0008154992315899906	4.213850843588182	0.7846195832412792	0.3108554000489435
54	1	6.408232243787618	0.8582765996086948	4.0623731348655445	0.7138832279575249	-0.00031465853632867775	0.00017678734119867484	5.031352741209742	0.9331639462059889	-0.0007879702086416483	0.0007988353503864747	4.213126441886728	0.7843561229633476	0.31310691309170474
56	1	6.409476881452953	0.8581779583289069	4.076198358728717	0.7106284805315963	0.0006570258793635472	0.00021920069390113077	5.022381146792991	0.9329888691805203	-9.773181710980028e-05	0.00044374269709535774	4.20663915358844	0.7841000418735417	0.3153520023295228
58	1	6.408162579137368	0.8581061602690183	4.057793359335476	0.7076444883837141	-0.0008741122455711396	6.244508083885219e-05	5.018639612478312	0.932745774960438	-0.004178480741325575	0.0002587471307940068	4.208065341004603	0.7838044434250829	0.3175906860901936
60	1	6.417130282134882	0.8580434090609769	4.066695217003919	0.7048593692437239	0.007967224623379425	0.00017699422030764006	5.026993811314312	0.9326509964069166	0.0017288558706536478	4.333291010173756e-05	4.199366487381746	0.7834966574348126	0.3198229826492206
62	1	6.424599649449741	0.858007335054641	4.077147072501088	0.7023492630236698	0.005418479368602715	0.00045015553459947346	5.013332864575408	0.9325014255814066	0.0026812447198940985	0.0001469841736556128	4.209146338371029	0.7832753562467866	0.32204891022996635
64	1	6.444136439250107	0.8580367322316804	4.081038133527645	0.700080786603787	0.00036306130950087916	0.0008191868266289266	5.026670493647382	0.9324092951236105	0.0007792726193060892	0.00028284092204931415	4.202655015212555	0.7831337581988647	0.32426848700379934
66	1	6.432503228979592	0.8580809841806066	4.073081832030619	0.6979878149145486	0.005141020836290581	0.0006963147830588507	5.022025243387846	0.9324104633333922	0.001828882286159508	0.00039700402710112853	4.197872939550659	0.7829053496390823	0.32648173109024453
68	1	6.429290991766553	0.8580775486929317	4.08155328492553	0.696034521940714	-0.019992105885890166	0.00025149767809135287	5.024455173453652	0.9323683764632191	-0.004277733204858971	7.244305576919956e-05	4.20227919273226	0.7827333301416055	0.3286886605571286
70	1	6.43347867882413	0.8580819381407777	4.076072711269875	0.6942299493856664	-0.018963720472738754	-0.0006919104428481946	5.010251370397311	0.9322441608438184	-0.003698294329653135	-0.00022604987682667296	4.202691243174484	0.7826007740214058	0.3308892934207292
72	1	6.444152275834635	0.8581302730254702	4.09130266233419	0.6926256609375463	-0.0250113516563399	-0.001363608034350889	5.019893758394224	0.9321410109453322	-0.0020998368584450172	-0.0002296233489104415	4.201244824026031	0.782432367838565	0.33308364764592163
74	1	6.4605299591390475	0.8582077259224674	4.081836409718726	0.6911557465691899	-0.016384078635516778	-0.002061637770370125	5.01594186447468	0.9321014230294504	0.0018797888733370328	-6.474898991345679e-05	4.201343933124846	0.7823270961787209	0.3352717411463255
76	1	6.451674599312546	0.8583119100690986	4.0748727222059555	0.689679143008189	-0.0156221424365707	-0.0024310248080254243	5.011581426520109	0.9320128137281828	0.0030895740122648505	0.0001647945383459458	4.191980924412787	0.7822431930990392	0.33745359178445167
78	1	6.453321230085191	0.8583935993083982	4.071534409386442	0.6883073641638536	-0.020892139810312002	-0.002889964019024852	5.027133340703352	0.9320734024360144	-0.002018236218194175	-2.4341925165004373e-05	4.197727415107137	0.7820655410508417	0.3396292173718468
80	1	6.463548820542975	0.8584886723339988	4.089146417021243	0.6871332368102091	-0.022935166552455106	-0.0034669817336714518	5.032314376966408	0.9321112710548133	0.003375864012426436	-7.461530905833344e-05	4.202965655261273	0.7820227296127557	0.3417986356692386
82	1	6.468451758275914	0.8586234095318485	4.0865283124900635	0.6861004526572205	-0.02434151948941803	-0.0038687718138889866	5.041362569448336	0.9322443818068289	0.005974001836389612	0.00014430207065132405	4.2045546652514645	0.7819597247957033	0.3439618643866825
84	1	6.47063948427918	0.8587409107012489	4.110832496687986	0.6852465922320827	-0.0192656204805777	-0.0042467096197409465	5.029972228260539	0.9323139683518368	-0.00024883169622119184	0.0002910893760163002	4.196606281646308	0.7819126368846069	0.34611892118370535
86	1	6.4870161745754285	0.8588813856443427	4.125641009870914	0.6846571443793761	-0.021951065284564402	-0.004589623524128852	5.0267045675088715	0.9323320733626186	0.0015786010641041237	0.00017334425931174512	4.196515195773061	0.7818217842717339	0.34826982366944853
88	1	6.494599448838946	0.8590733739541027	4.139095721621713	0.6842078641394674	-0.008798085641878405	-0.004504820217930157	5.0203681783769545	0.9322973572437132	0.003975213758453659	0.0001466985457207531	4.197858378793157	0.7817781417898159	0.35041458940281384
90	1	6.500132487011127	0.8592608871935115	4.146071925388691	0.6838541932654962	0.00740242502967045	-0.003504671389941591	5.005818326247817	0.9321716442513985	0.0037195986720137747	0.00024329183288099575	4.193496605344467	0.7816806744560117	0.35255323589260507
92	1	6.50808669811872	0.8594640268486539	4.159861169547752	0.6836255373075837	0.004997330474698698	-0.002420014552193518	4.982524547701403	0.931952868154761	-0.008808718481766837	0.0001435948624498592	4.19574820929577	0.7815952720445762	0.35468578059767164
94	1	6.505604648621935	0.8596784503633581	4.163869255416405	0.6834738924425271	0.02950593054696036	-0.001304083206925054	4.994155548271405	0.9317443959293088	0.0011470096477889265	-2.875296304418383e-05	4.194762167342278	0.781478911529419	0.35681224092705077
96	1	6.508473166802457	0.8598566059817044	4.190730737879636	0.68349995792011	0.028981825132092288	0.00035295116919540774	4.987841018509245	0.93156798520895	-0.004788566090325093	-8.677785999364195e-05	4.192086296217668	0.7814933200331164	0.3589326342401103
98	1	6.5031211635380055	0.8600291678435548	4.190915873833535	0.6835916047093361	0.03811862206643043	0.0016763508953567309	4.993485017242125	0.9314094167238121	0.003376549072524231	-0.00011974092480984668	4.193667656380844	0.7814171493128985	0.36104697784668927
100	1	6.4945559619801765	0.8601517992801709	4.191508090709324	0.6836875070090577	0.023659143315346957	0.0025939597371708737	4.983027922087989	0.931266026312094	-0.0008354720883009761	-5.2841616566953625e-05	4.195010032553397	0.7814199059048434	0.3631552890072411
102	1	6.493932611790277	0.8602539200364114	4.193159633001525	0.6838053065007881	0.003139584050953242	0.002554151625336102	4.984963093315478	0.9310951499625432	0.002400262120973296	-0.0003522356019212673	4.199787859738689	0.7814385791141011	0.36525758493297233
104	1	6.497833582610515	0.8603741647852637	4.195515324265513	0.683929742387519	6.429884538135212e-05	0.00199899070906164	5.001241762215565	0.9310577954512678	0.0006775657714177803	-0.00018989195770389837	4.196950579028695	0.7814348147325911	0.3673538827859841
106	1	6.489786697141751	0.8604433958141565	4.198705442170776	0.6840521236952113	-0.009167070579278304	0.0015950104394286304	5.003509647593683	0.9311205909584538	0.0029068731049830014	-0.00018726165527017128	4.199136678151925	0.7814418432519193	0.36944419967941244
108	1	6.477385409979561	0.8604755844707516	4.21393903214504	0.6842630458285985	0.00158315896618153	0.0010663110824701994	4.990875719315968	0.9311305772459839	-0.0008478280230058883	-8.390916323284316e-05	4.200842351901461	0.7814640893764427	0.3715285526775684
110	1	6.478937706783489	0.8605020164979066	4.193314050545618	0.6844051753211249	0.011084373043261132	0.001136888822417212	4.990860058917117	0.9310554378380851	0.009928807523810434	0.0001243902250390349	4.1967001132969735	0.7814178256434515	0.37360695879607597
112	1	6.476969318342724	0.8604900461737769	4.1974821379885014	0.684489073890682	-0.003527254129349256	0.0010791505931918809	4.985956260257944	0.9309600039217734	0.001671810655342854	0.00030644023514551607	4.190627455106397	0.7814140666147495	0.3756794350020121
114	1	6.496764067819364	0.8605418422348994	4.1979821046973695	0.6845774366358764	-0.008951049771799086	0.00048768729798428514	4.994250612650277	0.9309124666701228	-0.0017980593199448335	0.0003695858660215121	4.194085216392199	0.7813556534012814	0.37774599821404486
