### LC--->noradrenaline_LC DR--->serotonin_DR VLPO--->GABA_VLPO WR--->acetylcholin_WR R--->acetylcholin_R SCN--->GABA_SCN 
time	hypnogram	LC_F	LC_C	DR_F	DR_C	VLPO_F	VLPO_C	WR_F	WR_C	R_F	R_C	SCN_F	SCN_C	homeostatic
10	1	6.119610850880158	0.8795279694999756	4.0283321476434795	0.8494730057491244	1.5700057318852139	0.1607745464713472	5.543362207959922	0.9380587567741988	4.986615917484859	0.5688151968741397	4.578617845803873	0.8067825769171953	0.26205670501256684
12	1	6.1448010024647814	0.8766012857553543	3.7231675554567008	0.8340532519197519	1.736333482564156	0.2027482203653834	5.434779875197386	0.9401621442020355	4.9821507408933545	0.6344309071559389	4.6067966979087585	0.80871641446234	0.2644474458956388
14	1	6.183111475073976	0.8740496183978697	3.430382855968507	0.8170512426498445	1.8771775557619648	0.24309423820243745	5.360718200794346	0.9413370490944878	4.997026256110199	0.6881700923334566	4.62643746160054	0.8105457964243521	0.266831365742008
16	1	6.204212095748229	0.8718231210121331	3.1581960291440003	0.7985463665851664	1.9869487870912452	0.28065286164340697	5.306019548543191	0.9419029714538023	4.999655069512507	0.7322163965625167	4.64488883894992	0.8124254594726416	0.26920848401281383
18	1	6.230432600438564	0.8698737667939185	2.918479982608045	0.7788376186022645	2.081985479148659	0.3149201363810028	5.267805430629797	0.9420397560210749	4.999356236754798	0.7683028399912879	4.651664782952363	0.8141332335802477	0.27157882011367096
20	1	6.246928997161484	0.8681573273801266	2.701342925037989	0.7580710255490363	2.1500553598688548	0.34561299862573924	5.217376462476761	0.9418504204453872	4.989231525525097	0.7977805565473859	4.661335460268458	0.815658734182124	0.2739423933948279
22	1	6.239246085550919	0.8666078291513951	2.496486040263246	0.7364435551210492	2.207598216603825	0.3730736009550509	5.1870931166567535	0.94144325153481	4.981632236592359	0.8218876769947131	4.664276401541661	0.8169472296482059	0.27629922315132505
24	1	6.266437230415706	0.8651971506193672	2.297391195374621	0.7140714051720977	2.277063458612504	0.39767530993674016	5.154234939987423	0.9408912968683331	4.988891539231023	0.8416102877191302	4.665269960723567	0.8180555891279313	0.27864932862315134
26	1	6.283298548820426	0.8640039277291729	2.1202808714369796	0.6910399593551858	2.32513578692953	0.41982876030565397	5.1293348717686005	0.9401734846791833	4.998484564206347	0.85780969147196	4.66556612404704	0.8189592434135334	0.28099272899540256
28	1	6.304796247215256	0.8630081222097815	1.9566513418447982	0.6676184311616574	2.349073820172147	0.43900497611082406	5.100102964268474	0.9393986489054209	4.992941640051941	0.8710518258239921	4.649632942267521	0.8195472672875421	0.2833294433984377
30	1	6.325318734175445	0.8621675768256475	1.797722388561559	0.6438568434066199	2.3821452843255657	0.45570518316771197	5.078068725539351	0.9386094307651898	4.992574978490054	0.8818889281015384	4.6490187145465836	0.8199455322265502	0.2856594909080339
